imgname,ra,dec
rings.v3.skycell.1322.077.stk.i.unconv.fits,-1.00108333562,2.99978848982
rings.v3.skycell.1322.078.stk.i.unconv.fits,-1.4013936872,2.99934984676
rings.v3.skycell.1322.079.stk.i.unconv.fits,-1.80156724396,2.99876528432
rings.v3.skycell.1322.080.stk.i.unconv.fits,1.80207624499,3.39859893932
rings.v3.skycell.1322.081.stk.i.unconv.fits,1.40180517514,3.39926145047
rings.v3.skycell.1322.082.stk.i.unconv.fits,1.00139720357,3.39975859177
rings.v3.skycell.1322.083.stk.i.unconv.fits,0.600891386733,3.40009014531
rings.v3.skycell.1322.084.stk.i.unconv.fits,0.200326838425,3.40025596565
rings.v3.skycell.1322.085.stk.i.unconv.fits,-0.200257293135,3.40025598004
rings.v3.skycell.1322.086.stk.i.unconv.fits,-0.600821848242,3.40009018848
rings.v3.skycell.1322.087.stk.i.unconv.fits,-1.00132767867,3.39975866371
rings.v3.skycell.1322.088.stk.i.unconv.fits,-1.40173567062,3.39926155114
rings.v3.skycell.1322.089.stk.i.unconv.fits,-1.80200676763,3.39859906868
rings.v3.skycell.1322.090.stk.i.unconv.fits,1.80251600003,3.79829641483
rings.v3.skycell.1322.091.stk.i.unconv.fits,1.40214734243,3.79903676982
rings.v3.skycell.1322.092.stk.i.unconv.fits,1.00164168288,3.79959232428
rings.v3.skycell.1322.093.stk.i.unconv.fits,0.601038106402,3.79996283471
rings.v3.skycell.1322.094.stk.i.unconv.fits,0.200375755425,3.80014813862
rings.v3.skycell.1322.095.stk.i.unconv.fits,-0.200306193153,3.8001481547
rings.v3.skycell.1322.096.stk.i.unconv.fits,-0.600968550934,3.79996288296
rings.v3.skycell.1322.097.stk.i.unconv.fits,-1.00157214101,3.79959240467
rings.v3.skycell.1322.098.stk.i.unconv.fits,-1.40207782096,3.79903688232
rings.v3.skycell.1322.099.stk.i.unconv.fits,-1.80244650573,3.79829655938
rings.v3.skycell.1323.000.stk.i.unconv.fits,5.79856591172,0.199383536276
rings.v3.skycell.1323.001.stk.i.unconv.fits,5.39907383589,0.199422342822
rings.v3.skycell.1323.002.stk.i.unconv.fits,4.99944565668,0.199451462818
rings.v3.skycell.1323.003.stk.i.unconv.fits,4.599720203,0.199470883517
rings.v3.skycell.1323.004.stk.i.unconv.fits,4.19993636057,0.199480596416
rings.v3.skycell.1323.005.stk.i.unconv.fits,3.80013304917,0.199480597259
rings.v3.skycell.1323.006.stk.i.unconv.fits,3.40034919997,0.199470886046
rings.v3.skycell.1323.007.stk.i.unconv.fits,3.00062373278,0.199451467031
rings.v3.skycell.1323.008.stk.i.unconv.fits,2.60099553331,0.199422348719
rings.v3.skycell.1323.009.stk.i.unconv.fits,2.20150343049,0.199383543853
rings.v3.skycell.1323.010.stk.i.unconv.fits,5.79900395555,0.599080877605
rings.v3.skycell.1323.011.stk.i.unconv.fits,5.39941467119,0.599197527544
rings.v3.skycell.1323.012.stk.i.unconv.fits,4.999689184,0.599285060363
rings.v3.skycell.1323.013.stk.i.unconv.fits,4.59986635125,0.599343437736
rings.v3.skycell.1323.014.stk.i.unconv.fits,4.19998508703,0.599372634088
rings.v3.skycell.1323.015.stk.i.unconv.fits,3.80008433962,0.599372636622
rings.v3.skycell.1323.016.stk.i.unconv.fits,3.40020306864,0.599343445338
rings.v3.skycell.1323.017.stk.i.unconv.fits,3.00038022236,0.599285073029
rings.v3.skycell.1323.018.stk.i.unconv.fits,2.60065471489,0.599197545269
rings.v3.skycell.1323.020.stk.i.unconv.fits,5.79944221273,0.998914546046
rings.v3.skycell.1323.021.stk.i.unconv.fits,5.39975567257,0.999109119052
rings.v3.skycell.1323.022.stk.i.unconv.fits,4.99993283002,0.999255124502
rings.v3.skycell.1323.023.stk.i.unconv.fits,4.60001257073,0.999352498446
rings.v3.skycell.1323.024.stk.i.unconv.fits,4.20003383725,0.999401198207
rings.v3.skycell.1323.025.stk.i.unconv.fits,3.80003560632,0.999401202435
rings.v3.skycell.1323.026.stk.i.unconv.fits,3.40005686607,0.999352511126
rings.v3.skycell.1323.027.stk.i.unconv.fits,3.00013659325,0.999255145629
rings.v3.skycell.1323.028.stk.i.unconv.fits,2.60031373041,0.999109148618
rings.v3.skycell.1323.029.stk.i.unconv.fits,2.20062716322,0.998914584037
rings.v3.skycell.1323.030.stk.i.unconv.fits,5.79988068342,1.39884565274
rings.v3.skycell.1323.031.stk.i.unconv.fits,5.40009684014,1.3991182058
rings.v3.skycell.1323.032.stk.i.unconv.fits,5.00017659482,1.39932272665
rings.v3.skycell.1323.033.stk.i.unconv.fits,4.60015886152,1.3994591257
rings.v3.skycell.1323.034.stk.i.unconv.fits,4.20008261125,1.39952734314
rings.v3.skycell.1323.035.stk.i.unconv.fits,3.79998684926,1.39952734906
rings.v3.skycell.1323.036.stk.i.unconv.fits,3.39991059222,1.39945914346
rings.v3.skycell.1323.037.stk.i.unconv.fits,2.99989284537,1.39932275625
rings.v3.skycell.1323.038.stk.i.unconv.fits,2.59997257975,1.39911824721
rings.v3.skycell.1323.039.stk.i.unconv.fits,2.20018870941,1.39884570596
rings.v3.skycell.1323.040.stk.i.unconv.fits,5.80031936778,1.79883525191
rings.v3.skycell.1323.041.stk.i.unconv.fits,5.40043817402,1.79918581925
rings.v3.skycell.1323.042.stk.i.unconv.fits,5.00042047849,1.7994488812
rings.v3.skycell.1323.043.stk.i.unconv.fits,4.60030522365,1.7996243225
rings.v3.skycell.1323.044.stk.i.unconv.fits,4.20013140903,1.7997120662
rings.v3.skycell.1323.045.stk.i.unconv.fits,3.79993806841,1.79971207381
rings.v3.skycell.1323.046.stk.i.unconv.fits,3.39976424702,1.79962434534
rings.v3.skycell.1323.047.stk.i.unconv.fits,2.99964897863,1.79944891927
rings.v3.skycell.1323.048.stk.i.unconv.fits,2.59963126278,1.79918587252
rings.v3.skycell.1323.049.stk.i.unconv.fits,2.19975004195,1.79883532036
rings.v3.skycell.1323.050.stk.i.unconv.fits,5.80075826596,2.19884436356
rings.v3.skycell.1323.051.stk.i.unconv.fits,5.40077967434,2.19927295664
rings.v3.skycell.1323.052.stk.i.unconv.fits,5.00066448111,2.19959456829
rings.v3.skycell.1323.053.stk.i.unconv.fits,4.60045165719,2.19980905757
rings.v3.skycell.1323.054.stk.i.unconv.fits,4.20018023062,2.1999163304
rings.v3.skycell.1323.055.stk.i.unconv.fits,3.79988926377,2.19991633971
rings.v3.skycell.1323.056.stk.i.unconv.fits,3.39961783042,2.1998090855
rings.v3.skycell.1323.057.stk.i.unconv.fits,2.99940499294,2.19959461483
rings.v3.skycell.1323.058.stk.i.unconv.fits,2.59928977937,2.19927302176
rings.v3.skycell.1323.059.stk.i.unconv.fits,2.19931116066,2.19884444725
rings.v3.skycell.1323.060.stk.i.unconv.fits,5.80119737811,2.59883399632
rings.v3.skycell.1323.061.stk.i.unconv.fits,5.40112134122,2.59934060379
rings.v3.skycell.1323.062.stk.i.unconv.fits,5.00090860277,2.59972075664
rings.v3.skycell.1323.063.stk.i.unconv.fits,4.60059816218,2.59997428821
rings.v3.skycell.1323.064.stk.i.unconv.fits,4.20022907604,2.60010108732
rings.v3.skycell.1323.065.stk.i.unconv.fits,3.79984043531,2.60010109833
rings.v3.skycell.1323.066.stk.i.unconv.fits,3.39947134238,2.59997432123
rings.v3.skycell.1323.067.stk.i.unconv.fits,2.99916088822,2.59972081164
rings.v3.skycell.1323.068.stk.i.unconv.fits,2.59894812942,2.59934068077
rings.v3.skycell.1323.069.stk.i.unconv.fits,2.19887206541,2.59883409524
rings.v3.skycell.1323.070.stk.i.unconv.fits,5.80163670441,2.99876517018
rings.v3.skycell.1323.071.stk.i.unconv.fits,5.40146317478,2.99934975793
rings.v3.skycell.1323.072.stk.i.unconv.fits,5.00115284356,2.99978842634
rings.v3.skycell.1323.073.stk.i.unconv.fits,4.60074473868,3.00008098314
rings.v3.skycell.1323.074.stk.i.unconv.fits,4.2002779453,3.00022729999
rings.v3.skycell.1323.075.stk.i.unconv.fits,3.79979158301,3.00022731269
rings.v3.skycell.1323.076.stk.i.unconv.fits,3.39932478285,3.00008102124
rings.v3.skycell.1323.077.stk.i.unconv.fits,2.99891666438,2.99978848982
rings.v3.skycell.1323.078.stk.i.unconv.fits,2.5986063128,2.99934984676
rings.v3.skycell.1323.079.stk.i.unconv.fits,2.19843275604,2.99876528432
rings.v3.skycell.1323.080.stk.i.unconv.fits,5.80207624499,3.39859893932
rings.v3.skycell.1323.081.stk.i.unconv.fits,5.40180517514,3.39926145047
rings.v3.skycell.1323.082.stk.i.unconv.fits,5.00139720357,3.39975859177
rings.v3.skycell.1323.083.stk.i.unconv.fits,4.60089138673,3.40009014531
rings.v3.skycell.1323.084.stk.i.unconv.fits,4.20032683842,3.40025596565
rings.v3.skycell.1323.085.stk.i.unconv.fits,3.79974270686,3.40025598004
rings.v3.skycell.1323.086.stk.i.unconv.fits,3.39917815176,3.40009018848
rings.v3.skycell.1323.087.stk.i.unconv.fits,2.99867232133,3.39975866371
rings.v3.skycell.1323.088.stk.i.unconv.fits,2.59826432938,3.39926155114
rings.v3.skycell.1323.089.stk.i.unconv.fits,2.19799323237,3.39859906868
rings.v3.skycell.1323.090.stk.i.unconv.fits,5.80251600003,3.79829641483
rings.v3.skycell.1323.091.stk.i.unconv.fits,5.40214734243,3.79903676982
rings.v3.skycell.1323.092.stk.i.unconv.fits,5.00164168288,3.79959232428
rings.v3.skycell.1323.093.stk.i.unconv.fits,4.6010381064,3.79996283471
rings.v3.skycell.1323.094.stk.i.unconv.fits,4.20037575542,3.80014813862
rings.v3.skycell.1323.095.stk.i.unconv.fits,3.79969380685,3.8001481547
rings.v3.skycell.1323.096.stk.i.unconv.fits,3.39903144907,3.79996288296
rings.v3.skycell.1323.097.stk.i.unconv.fits,2.99842785899,3.79959240467
rings.v3.skycell.1323.098.stk.i.unconv.fits,2.59792217904,3.79903688232
rings.v3.skycell.1323.099.stk.i.unconv.fits,2.19755349427,3.79829655938
rings.v3.skycell.1324.000.stk.i.unconv.fits,9.79856591172,0.199383536276
rings.v3.skycell.1324.001.stk.i.unconv.fits,9.39907383589,0.199422342822
rings.v3.skycell.1324.002.stk.i.unconv.fits,8.99944565668,0.199451462818
rings.v3.skycell.1324.003.stk.i.unconv.fits,8.599720203,0.199470883517
rings.v3.skycell.1324.004.stk.i.unconv.fits,8.19993636057,0.199480596416
rings.v3.skycell.1324.005.stk.i.unconv.fits,7.80013304917,0.199480597259
rings.v3.skycell.1324.006.stk.i.unconv.fits,7.40034919997,0.199470886046
rings.v3.skycell.1324.007.stk.i.unconv.fits,7.00062373278,0.199451467031
rings.v3.skycell.1324.008.stk.i.unconv.fits,6.60099553331,0.199422348719
rings.v3.skycell.1324.009.stk.i.unconv.fits,6.20150343049,0.199383543853
rings.v3.skycell.1324.010.stk.i.unconv.fits,9.79900395555,0.599080877605
rings.v3.skycell.1324.011.stk.i.unconv.fits,9.39941467119,0.599197527544
rings.v3.skycell.1324.012.stk.i.unconv.fits,8.999689184,0.599285060363
rings.v3.skycell.1324.013.stk.i.unconv.fits,8.59986635125,0.599343437736
rings.v3.skycell.1324.014.stk.i.unconv.fits,8.19998508703,0.599372634088
rings.v3.skycell.1324.016.stk.i.unconv.fits,7.40020306864,0.599343445338
rings.v3.skycell.1324.017.stk.i.unconv.fits,7.00038022236,0.599285073029
rings.v3.skycell.1324.018.stk.i.unconv.fits,6.60065471489,0.599197545269
rings.v3.skycell.1324.019.stk.i.unconv.fits,6.20106540353,0.599080900381
rings.v3.skycell.1324.020.stk.i.unconv.fits,9.79944221273,0.998914546046
rings.v3.skycell.1324.021.stk.i.unconv.fits,9.39975567257,0.999109119052
rings.v3.skycell.1324.022.stk.i.unconv.fits,8.99993283002,0.999255124502
rings.v3.skycell.1324.023.stk.i.unconv.fits,8.60001257073,0.999352498446
rings.v3.skycell.1324.024.stk.i.unconv.fits,8.20003383725,0.999401198207
rings.v3.skycell.1324.025.stk.i.unconv.fits,7.80003560632,0.999401202435
rings.v3.skycell.1324.026.stk.i.unconv.fits,7.40005686607,0.999352511126
rings.v3.skycell.1324.027.stk.i.unconv.fits,7.00013659325,0.999255145629
rings.v3.skycell.1324.028.stk.i.unconv.fits,6.60031373041,0.999109148618
rings.v3.skycell.1324.029.stk.i.unconv.fits,6.20062716322,0.998914584037
rings.v3.skycell.1324.030.stk.i.unconv.fits,9.79988068342,1.39884565274
rings.v3.skycell.1324.031.stk.i.unconv.fits,9.40009684014,1.3991182058
rings.v3.skycell.1324.032.stk.i.unconv.fits,9.00017659482,1.39932272665
rings.v3.skycell.1324.033.stk.i.unconv.fits,8.60015886152,1.3994591257
rings.v3.skycell.1324.034.stk.i.unconv.fits,8.20008261125,1.39952734314
rings.v3.skycell.1324.035.stk.i.unconv.fits,7.79998684926,1.39952734906
rings.v3.skycell.1324.036.stk.i.unconv.fits,7.39991059222,1.39945914346
rings.v3.skycell.1324.037.stk.i.unconv.fits,6.99989284537,1.39932275625
rings.v3.skycell.1324.038.stk.i.unconv.fits,6.59997257975,1.39911824721
rings.v3.skycell.1324.039.stk.i.unconv.fits,6.20018870941,1.39884570596
rings.v3.skycell.1324.040.stk.i.unconv.fits,9.80031936778,1.79883525191
rings.v3.skycell.1324.041.stk.i.unconv.fits,9.40043817402,1.79918581925
rings.v3.skycell.1324.042.stk.i.unconv.fits,9.00042047849,1.7994488812
rings.v3.skycell.1324.043.stk.i.unconv.fits,8.60030522365,1.7996243225
rings.v3.skycell.1324.044.stk.i.unconv.fits,8.20013140903,1.7997120662
rings.v3.skycell.1324.045.stk.i.unconv.fits,7.79993806841,1.79971207381
rings.v3.skycell.1324.046.stk.i.unconv.fits,7.39976424702,1.79962434534
rings.v3.skycell.1324.047.stk.i.unconv.fits,6.99964897863,1.79944891927
rings.v3.skycell.1324.048.stk.i.unconv.fits,6.59963126278,1.79918587252
rings.v3.skycell.1324.049.stk.i.unconv.fits,6.19975004195,1.79883532036
rings.v3.skycell.1324.050.stk.i.unconv.fits,9.80075826596,2.19884436356
rings.v3.skycell.1324.051.stk.i.unconv.fits,9.40077967434,2.19927295664
rings.v3.skycell.1324.052.stk.i.unconv.fits,9.00066448111,2.19959456829
rings.v3.skycell.1324.053.stk.i.unconv.fits,8.60045165719,2.19980905757
rings.v3.skycell.1324.054.stk.i.unconv.fits,8.20018023062,2.1999163304
rings.v3.skycell.1324.055.stk.i.unconv.fits,7.79988926377,2.19991633971
rings.v3.skycell.1324.056.stk.i.unconv.fits,7.39961783042,2.1998090855
rings.v3.skycell.1324.057.stk.i.unconv.fits,6.99940499294,2.19959461483
rings.v3.skycell.1324.058.stk.i.unconv.fits,6.59928977937,2.19927302176
rings.v3.skycell.1324.059.stk.i.unconv.fits,6.19931116066,2.19884444725
rings.v3.skycell.1324.060.stk.i.unconv.fits,9.80119737811,2.59883399632
rings.v3.skycell.1324.061.stk.i.unconv.fits,9.40112134122,2.59934060379
rings.v3.skycell.1324.062.stk.i.unconv.fits,9.00090860277,2.59972075664
rings.v3.skycell.1324.063.stk.i.unconv.fits,8.60059816218,2.59997428821
rings.v3.skycell.1324.064.stk.i.unconv.fits,8.20022907604,2.60010108732
rings.v3.skycell.1324.065.stk.i.unconv.fits,7.79984043531,2.60010109833
rings.v3.skycell.1324.066.stk.i.unconv.fits,7.39947134238,2.59997432123
